City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Raciborz,PL,2022-09-12 16:30:18,50.0919,18.2193,63.72,80,57,4.05
92,Castro,BR,2022-09-12 16:20:38,-24.7911,-50.0119,62.28,85,100,5.53
93,Kant,IN,2022-09-12 16:30:19,27.8,79.8,81.14,74,4,15.28
94,Kokstad,ZA,2022-09-12 16:30:20,-30.5472,29.4241,45.19,94,100,2.68
95,Cayenne,GF,2022-09-12 16:30:05,4.9333,-52.3333,89.64,55,40,10.36
96,Hasaki,JP,2022-09-12 16:23:02,35.7333,140.8333,70.29,92,72,11.97
97,Stevens Point,US,2022-09-12 16:30:21,44.5236,-89.5746,59.47,83,100,9.22
98,Rock Sound,BS,2022-09-12 16:30:22,24.9,-76.2,83.68,71,24,6.08
99,Kem,RU,2022-09-12 16:30:23,64.9555,34.5793,51.33,75,100,5.77
100,Korla,CN,2022-09-12 16:30:23,41.7597,86.1469,74.82,28,71,19.57
101,San Carlos De Bariloche,AR,2022-09-12 16:30:24,-41.1456,-71.3082,49.75,46,40,6.91
102,Touros,BR,2022-09-12 16:30:24,-5.1989,-35.4608,83.52,56,36,18.19
103,Arraial Do Cabo,BR,2022-09-12 16:23:04,-22.9661,-42.0278,73.36,68,100,13.8
104,Usinsk,RU,2022-09-12 16:24:15,65.9939,57.5281,46.02,90,100,11.36
105,Vetluzhskiy,RU,2022-09-12 16:30:25,58.3902,45.4654,51.37,58,97,2.91
106,Port Macquarie,AU,2022-09-12 16:30:25,-31.4333,152.9167,50.9,87,14,6.62
107,Gotsu,JP,2022-09-12 16:30:26,35.0,132.2167,74.17,90,89,4.97
108,Bambous Virieux,MU,2022-09-12 16:30:26,-20.3428,57.7575,70.05,78,40,9.22
109,El Alto,PE,2022-09-12 16:30:27,-4.2714,-81.2147,69.46,62,20,18.19
110,Nemuro,JP,2022-09-12 16:30:27,43.3236,145.575,64.24,92,100,7.05
111,Fort-Shevchenko,KZ,2022-09-12 16:20:42,44.5086,50.263,71.11,52,0,11.18
112,Paita,PE,2022-09-12 16:30:28,-5.0892,-81.1144,70.21,68,43,15.03
113,Pamanukan,ID,2022-09-12 16:30:28,-6.2842,107.8106,77.72,84,59,4.5
114,Kasongo-Lunda,CD,2022-09-12 16:30:29,-6.4667,16.8167,85.26,46,12,3.4
115,San Juan,AR,2022-09-12 16:30:29,-31.5375,-68.5364,70.03,14,0,9.6
116,Lambarene,GA,2022-09-12 16:30:30,-0.7001,10.2406,84.29,56,10,2.95
117,Tiksi,RU,2022-09-12 16:30:30,71.6872,128.8694,33.37,80,42,4.92
118,Butaritari,KI,2022-09-12 16:20:41,3.0707,172.7902,81.34,75,27,9.42
119,Avarua,CK,2022-09-12 16:30:30,-21.2078,-159.775,73.45,83,75,9.22
120,Komsomolskiy,UZ,2022-09-12 16:30:31,40.4272,71.7189,56.12,82,75,2.3
121,Baykit,RU,2022-09-12 16:30:31,61.67,96.37,42.78,96,100,5.55
122,Atuona,PF,2022-09-12 16:27:29,-9.8,-139.0333,75.99,79,59,20.15
123,Elizabeth City,US,2022-09-12 16:30:32,36.2946,-76.2511,87.82,73,98,5.99
124,Yarmouth,US,2022-09-12 16:30:32,41.7057,-70.2286,72.07,95,100,5.75
125,Wanning,CN,2022-09-12 16:30:32,18.8003,110.3967,77.86,84,0,3.71
126,Cerritos,US,2022-09-12 16:30:21,33.8583,-118.0648,82.08,77,75,3.44
127,Shenzhen,CN,2022-09-12 16:29:20,22.5455,114.0683,90.99,74,0,3.67
128,Tuktoyaktuk,CA,2022-09-12 16:31:33,69.4541,-133.0374,39.2,87,100,10.36
129,Chokurdakh,RU,2022-09-12 16:31:34,70.6333,147.9167,38.71,90,100,8.66
130,Petrovsk,RU,2022-09-12 16:31:34,52.3064,45.3917,53.04,52,69,10.04
131,Torbay,CA,2022-09-12 16:27:01,47.6666,-52.7314,61.75,97,100,13.8
132,Vostok,RU,2022-09-12 16:31:34,46.4856,135.8833,54.84,98,60,5.3
133,Krasnoselkup,RU,2022-09-12 16:31:35,65.7,82.4667,38.55,80,92,8.12
134,Niquero,CU,2022-09-12 16:31:35,20.0431,-77.5828,87.93,61,81,0.85
135,Margate,GB,2022-09-12 16:21:57,51.3813,1.3862,76.69,56,92,3.0
136,Ponta Do Sol,PT,2022-09-12 16:28:05,32.6667,-17.1,81.01,75,97,14.79
137,East London,ZA,2022-09-12 16:25:43,-33.0153,27.9116,59.94,72,0,14.97
138,Marystown,CA,2022-09-12 16:31:28,47.1666,-55.1483,61.07,91,100,21.45
139,Olafsvik,IS,2022-09-12 16:31:36,64.8945,-23.7142,50.09,88,89,15.7
140,Harer,ET,2022-09-12 16:31:37,9.3094,42.1258,66.06,71,99,1.03
141,Marzuq,YE,2022-09-12 16:31:37,14.4,46.4667,82.13,44,98,6.85
142,Barra Do Bugres,BR,2022-09-12 16:31:37,-15.0725,-57.1811,107.1,11,42,3.2
143,Puerto Ayora,EC,2022-09-12 16:31:18,-0.7393,-90.3518,73.36,90,100,5.99
144,Kenora,CA,2022-09-12 16:27:05,49.8167,-94.4337,68.97,52,75,9.22
145,Lompoc,US,2022-09-12 16:21:50,34.6391,-120.4579,80.69,81,0,1.01
146,Port Elizabeth,ZA,2022-09-12 16:31:38,-33.918,25.5701,59.09,64,20,17.27
147,San Patricio,US,2022-09-12 16:24:29,28.017,-97.5169,87.85,58,43,7.76
148,Havelock,US,2022-09-12 16:31:39,34.8791,-76.9013,89.55,77,20,6.91
149,Bonavista,CA,2022-09-12 16:31:39,48.6499,-53.1147,58.1,98,100,18.86
150,Marsh Harbour,BS,2022-09-12 16:31:39,26.5412,-77.0636,84.51,69,14,6.08
151,Neiafu,TO,2022-09-12 16:21:53,-18.65,-173.9833,72.28,94,40,5.75
152,Angoram,PG,2022-09-12 16:31:40,-4.0625,144.0661,72.14,99,36,1.88
153,Artyom,AZ,2022-09-12 16:31:40,40.4723,50.333,75.34,59,0,11.72
154,Sola,VU,2022-09-12 16:31:41,-13.8833,167.55,78.89,78,69,18.59
155,Liaozhong,CN,2022-09-12 16:31:41,41.5061,122.7242,62.28,83,0,4.03
156,Coihaique,CL,2022-09-12 16:23:11,-45.5752,-72.0662,51.75,66,75,3.44
157,Qaanaaq,GL,2022-09-12 16:27:03,77.484,-69.3632,37.44,98,100,6.98
158,Newcastle,AU,2022-09-12 16:31:42,-32.9272,151.7765,55.4,79,100,9.22
159,Masakin,TN,2022-09-12 16:31:42,35.7292,10.5808,100.6,62,20,13.8
160,Pemangkat,ID,2022-09-12 16:23:17,1.1667,108.9667,79.39,83,100,5.64
161,Plettenberg Bay,ZA,2022-09-12 16:31:42,-34.0527,23.3716,53.11,73,5,7.05
162,Garowe,SO,2022-09-12 16:31:43,8.4054,48.4845,88.77,34,94,16.08
163,Dingle,PH,2022-09-12 16:21:50,10.9995,122.6711,75.78,89,35,2.84
164,Poum,NC,2022-09-12 16:27:17,-20.2333,164.0167,76.21,78,99,10.2
165,Bethel,US,2022-09-12 16:25:42,41.3712,-73.414,73.54,87,100,4.61
166,Saskylakh,RU,2022-09-12 16:31:44,71.9167,114.0833,32.34,92,79,7.23
167,Rio Gallegos,AR,2022-09-12 16:24:37,-51.6226,-69.2181,50.05,40,0,9.22
168,Padang,ID,2022-09-12 16:31:44,-0.9492,100.3543,77.76,85,100,2.55
169,Salisbury,GB,2022-09-12 16:31:44,51.0693,-1.7957,75.81,56,100,5.75
170,Maniitsoq,GL,2022-09-12 16:31:45,65.4167,-52.9,41.27,96,100,19.64
171,Bosaso,SO,2022-09-12 16:31:45,11.2842,49.1816,90.95,52,38,5.21
172,Sile,TR,2022-09-12 16:31:46,41.1754,29.6133,72.27,67,26,2.24
173,Flin Flon,CA,2022-09-12 16:31:46,54.7682,-101.865,60.64,44,20,11.5
174,Cherskiy,RU,2022-09-12 16:31:46,68.75,161.3,39.51,88,100,4.72
175,Saint-Philippe,RE,2022-09-12 16:27:06,-21.3585,55.7679,69.39,72,45,9.46
176,Kamyaran,IR,2022-09-12 16:32:47,34.7956,46.9355,75.85,13,0,3.76
177,Salina,US,2022-09-12 16:29:47,38.8403,-97.6114,79.02,39,0,13.8
178,Boulder City,US,2022-09-12 16:32:48,35.9786,-114.8325,74.43,78,55,11.5
179,Cedar City,US,2022-09-12 16:28:26,37.6775,-113.0619,68.97,52,0,24.16
180,Alta Floresta,BR,2022-09-12 16:30:05,-9.8756,-56.0861,105.21,12,25,1.77
181,Jiehu,CN,2022-09-12 16:32:48,35.5428,118.455,64.62,96,4,2.98
182,Half Moon Bay,US,2022-09-12 16:32:49,37.4636,-122.4286,71.82,79,100,13.8
183,Awbari,LY,2022-09-12 16:32:49,26.5921,12.7805,93.18,14,0,10.36
184,Vuktyl,RU,2022-09-12 16:32:49,63.8567,57.3094,46.49,84,100,8.32
185,Sumbawanga,TZ,2022-09-12 16:32:50,-7.9667,31.6167,69.33,48,87,0.4
186,Yumen,CN,2022-09-12 16:32:50,40.2833,97.2,73.27,28,95,19.39
187,Beloha,MG,2022-09-12 16:32:50,-25.1667,45.05,66.27,87,0,5.68
188,Hirara,JP,2022-09-12 16:32:51,24.8,125.2833,79.92,86,100,39.91
189,Cidreira,BR,2022-09-12 16:32:51,-30.1811,-50.2056,60.73,81,96,12.73
190,Lorengau,PG,2022-09-12 16:32:52,-2.0226,147.2712,81.41,72,93,10.94
191,Barmer,IN,2022-09-12 16:32:52,25.75,71.3833,87.73,59,100,6.51
192,Coquimbo,CL,2022-09-12 16:30:03,-29.9533,-71.3436,58.73,62,0,14.97
193,Inuvik,CA,2022-09-12 16:30:38,68.3499,-133.7218,41.86,93,20,5.75
194,Jobner,IN,2022-09-12 16:32:53,26.9667,75.3833,85.42,59,66,7.67
195,Davila,PH,2022-09-12 16:32:53,18.4726,120.5763,80.22,82,71,10.69
196,Gamba,GA,2022-09-12 16:32:53,-2.65,10.0,76.3,75,47,9.35
197,Yerbogachen,RU,2022-09-12 16:32:54,61.2767,108.0108,47.28,90,100,2.33
198,Sapouy,BF,2022-09-12 16:32:54,11.5544,-1.7736,72.55,91,100,3.69
