City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Velasco Ibarra,EC,-1.05,-79.6167,87.39,47,100,4.18,overcast clouds
117,Cabo San Lucas,MX,22.8909,-109.9124,94.6,72,0,9.42,clear sky
118,Srednekolymsk,RU,67.45,153.6833,35.19,74,100,3.91,overcast clouds
119,Dikson,RU,73.5069,80.5464,33.03,91,40,6.42,scattered clouds
120,Rupert,US,42.6191,-113.6772,75.72,20,1,13.65,clear sky
121,Trenton,US,40.217,-74.7429,80.13,44,3,3.0,clear sky
122,Chuy,UY,-33.6971,-53.4616,59.11,72,0,13.71,clear sky
123,Olafsvik,IS,64.8945,-23.7142,48.25,80,100,2.82,overcast clouds
124,Scottsbluff,US,41.8666,-103.6672,81.54,26,32,6.91,scattered clouds
125,Chokurdakh,RU,70.6333,147.9167,32.04,91,96,3.29,overcast clouds
126,Carballo,ES,43.213,-8.691,64.76,86,45,6.71,scattered clouds
127,Sibolga,ID,1.7427,98.7792,75.24,88,96,1.92,overcast clouds
128,Lebedinyy,RU,58.5167,125.5167,33.98,77,2,6.93,clear sky
129,Sumbe,AO,-11.2061,13.8437,71.38,85,63,7.31,broken clouds
130,Xingyi,CN,24.1877,102.817,60.82,98,91,2.44,overcast clouds
131,Erenhot,CN,43.6475,111.9767,55.04,44,0,16.11,clear sky
132,Komsomolskiy,UZ,40.4272,71.7189,66.92,42,98,6.91,overcast clouds
133,Kruisfontein,ZA,-34.0033,24.7314,58.89,77,100,13.56,overcast clouds
134,Urumqi,CN,43.801,87.6005,50.95,40,0,2.24,clear sky
135,Kirakira,SB,-10.4544,161.9205,81.57,79,22,4.9,few clouds
136,Kon Tum,VN,14.35,108.0,69.13,99,96,0.16,overcast clouds
137,Flinders,AU,-34.5833,150.8552,57.25,78,13,7.0,few clouds
138,San Miguel,SV,13.4833,-88.1833,84.74,74,99,3.36,light rain
139,Felanitx,ES,39.4696,3.1483,74.95,76,24,2.98,few clouds
140,Hofn,IS,64.2539,-15.2082,47.37,70,97,5.77,overcast clouds
141,Anadyr,RU,64.75,177.4833,39.0,93,100,28.99,overcast clouds
142,Chernyshevskiy,RU,63.0128,112.4714,36.61,91,31,9.13,scattered clouds
143,Palu,ID,-0.8917,119.8707,74.17,93,100,3.06,overcast clouds
144,Miranda De Ebro,ES,42.6865,-2.947,59.81,91,9,2.28,clear sky
145,Polson,US,47.6936,-114.1632,71.73,40,40,5.01,scattered clouds
146,Biak,ID,-0.9131,122.8766,74.41,79,100,3.6,overcast clouds
147,Saint George,US,37.1041,-113.5841,87.8,31,0,5.99,clear sky
148,Norman Wells,CA,65.282,-126.8329,58.41,56,62,7.56,broken clouds
149,Araguaina,BR,-7.1911,-48.2072,83.17,50,85,4.23,overcast clouds
150,Torbay,CA,47.6666,-52.7314,60.28,85,85,5.99,overcast clouds
151,Dongsheng,CN,39.8161,109.9776,60.75,56,85,7.67,overcast clouds
152,Westport,US,41.1415,-73.3579,76.28,44,22,4.0,few clouds
153,Mamallapuram,IN,12.6264,80.1722,86.05,76,74,12.97,broken clouds
154,Provideniya,RU,64.3833,-173.3,46.18,97,100,22.46,light rain
155,Juba,SS,4.8517,31.5825,71.6,86,95,4.03,overcast clouds
156,Aklavik,CA,68.2191,-135.0107,42.8,75,75,4.61,shower rain
157,Vanimo,PG,-2.6741,141.3028,77.92,87,100,5.08,light rain
158,Camargo,MX,27.6667,-105.1667,87.31,27,0,4.72,clear sky
159,Katherine,AU,-14.4667,132.2667,75.52,69,40,4.61,scattered clouds
160,Gat,IL,31.61,34.7642,79.48,100,0,5.93,clear sky
161,Yenangyaung,MM,20.4667,94.8833,76.87,87,77,5.3,broken clouds
162,Rio Gallegos,AR,-51.6226,-69.2181,45.46,36,83,13.31,broken clouds
163,Filadelfia,US,39.9523,-75.1638,80.19,47,0,1.99,clear sky
164,Sakakah,SA,29.9697,40.2064,85.91,18,0,8.25,clear sky
165,Grindavik,IS,63.8424,-22.4338,48.67,87,100,6.91,overcast clouds
166,Hadejia,NG,12.4498,10.0444,81.46,66,99,9.62,light rain
